2737,,,,,,,,,,,,,,
Feature_ID,AvgQuats_0,AvgQuats_1,AvgQuats_2,AvgQuats_3,EulerAngles_0,EulerAngles_1,EulerAngles_2,NumNeighbors,Phases,SurfaceFeatures,Volumes,Radius,Diameter,Avg Diameter
147,-0.87412161,0.004080636,0.33316484,0.35340613,5.5225921,2.1272881,5.5319285,5,1,1,16000,15.63185284,31.26370567,
148,-0.87474924,-0.3096019,-0.34751323,0.13488889,5.5425878,2.989434,0.81736135,8,1,0,58000,24.01300224,48.02600448,
149,-0.78825623,-0.02512648,-0.61420774,0.027742852,5.0286098,1.1820692,3.7741392,1,1,0,1000,6.203504909,12.40700982,
150,0.63226682,0.080022007,-0.53711057,0.55258244,4.0386877,1.3820065,3.7868991,24,1,1,302000,41.62038672,83.24077345,
151,0.38087246,0.45507097,0.013270593,0.80477977,3.9990308,1.2706153,2.251178,7,1,1,39000,21.03739683,42.07479367,
152,-0.40998659,-0.3827301,0.73947245,0.37230259,1.6930834,1.4206505,6.1719356,3,1,0,1000,6.203504909,12.40700982,
153,0.46860343,0.46749967,-0.6197716,0.42158985,4.5131221,1.4812418,3.0520949,4,1,0,29000,19.05913251,38.11826502,
154,-0.055788066,0.27432027,-0.21162611,0.93640298,5.1352863,0.56745398,1.5924293,15,1,1,86000,27.38230145,54.76460291,
155,0.84884626,0.26375645,0.45485005,0.054808903,1.9000136,1.9268734,5.9297414,9,1,0,28000,18.83749459,37.67498919,
156,-0.5964601,-0.67966884,-0.191072,0.38180774,4.129055,1.7297579,4.6998887,9,1,0,6000,11.27251652,22.54503304,
157,0.3490321,0.62486297,0.074754119,0.69435918,1.4844011,2.2680392,3.6655495,3,1,0,4000,9.847450218,19.69490044,
158,0.028356334,-0.26999044,-0.91224444,0.30677557,3.9483082,0.17372251,5.3012075,6,1,0,7000,11.86687798,23.73375597,
159,-0.71478331,-0.25822327,-0.6156345,0.2083261,1.4028773,2.0932472,3.253289,8,1,0,15000,15.29915871,30.59831742,
160,-0.26835981,0.032619704,0.011335324,0.96269953,1.7855241,0.67742038,2.2464476,7,1,0,18000,16.2577821,32.51556421,
161,0.004215881,0.270731,-0.21303926,0.93877643,0.87658828,0.50697595,2.5553086,4,1,0,4000,9.847450218,19.69490044,
162,-0.67988265,-0.23915146,0.67204344,0.17006974,2.7734637,1.471258,0.61804187,16,1,0,58000,24.01300224,48.02600448,
163,-0.061745521,-0.34292948,0.88014007,0.32239774,3.9378862,1.6469114,5.3528142,6,1,0,17000,15.95095797,31.90191594,
164,-0.68009537,-0.29107815,-0.366427,0.56433588,5.6683688,1.1389792,6.2504158,39,1,0,820000,58.06419567,116.1283913,
165,0.27820793,0.32591605,0.87930393,0.20785487,0.95380157,0.8152768,5.780025,1,1,0,1000,6.203504909,12.40700982,
166,-0.34867352,-0.70386648,-0.069599167,0.61494279,1.5258268,2.6185439,2.8728738,1,1,0,1000,6.203504909,12.40700982,
167,0.11985295,0.81565464,0.56371891,0.050633717,0.93248641,1.7199355,4.0719213,15,1,0,76000,26.2769524,52.5539048,
168,-0.64433336,0.21650235,0.72242737,0.12672785,3.7022824,1.7326162,4.0895653,9,1,0,88000,27.59294282,55.18588564,
169,-0.29534572,-0.46846175,0.65257305,0.5171681,5.9776654,1.1424228,0.4533371,2,1,0,1000,6.203504909,12.40700982,
170,0.59839439,-0.5631128,-0.025907241,0.56934786,0.25759256,2.0312819,6.1163421,14,1,0,75000,26.1611934,52.3223868,
171,-0.43753198,-0.84329611,0.31197137,0.009555734,3.0108645,2.6931119,4.4258361,17,1,0,212000,36.98983697,73.97967394,
172,-0.27223915,-0.033674411,-0.96028376,0.05105805,1.6407456,0.5557524,1.3946074,4,1,1,29000,19.05913251,38.11826502,
173,0.21129131,-0.90175068,-0.28667605,0.24498697,2.6646073,2.368274,5.3458796,24,1,1,1104000,64.11507501,128.23015,
174,0.41737831,0.48658904,0.55577248,0.52928585,3.1936014,1.391789,1.4699765,6,1,1,20000,16.83890301,33.67780602,
175,0.46536851,-0.079068758,0.55787975,0.68260562,5.2203345,2.0477667,3.3210316,13,1,0,24000,17.89400458,35.78800916,
176,0.21743181,0.32333395,-0.92039037,0.032559313,1.2513173,2.2569745,0.10834789,3,1,0,2000,7.815926418,15.63185284,
177,-0.92008251,0.30213523,-0.03058137,0.24744129,4.5290442,1.0032482,0.47222224,13,1,0,29000,19.05913251,38.11826502,
178,-0.75687057,0.21565847,0.077810064,0.61203265,2.6737437,1.7996677,4.9789329,7,1,0,10000,13.36504618,26.73009235,
